Name,Rating,Reviews,Category,Address,city,country,Website,Phone,Url
Fam Ngo Vietnamesisches Restaurant,4.5,85,Vietnamese restaurant,"Mühlenstraße 38, 13187 Berlin, Germany",Berlin,Germany,http://famngo.de/,+49 30 55621718,https://www.google.com/maps/place/Fam+Ngo+Vietnamesisches+Restaurant/data=!4m7!3m6!1s0x47a853224a7a0e45:0xc375e6a4e227a943!8m2!3d52.5610372!4d13.4108483!16s%2Fg%2F11vr4__g7w!19sChIJRQ56SiJTqEcRQ6kn4qTmdcM?authuser=0&hl=en&rclk=1
Italofritzen,3.9,"2,427",Italian restaurant,"Friedrichstraße 105, 10117 Berlin, Germany",Berlin,Germany,http://www.italofritzen.com/,+49 30 40520594,https://www.google.com/maps/place/Italofritzen/data=!4m7!3m6!1s0x47a851c27d0f02e7:0xce65069e37023fc1!8m2!3d52.5226065!4d13.388197!16s%2Fg%2F11f542vxqg!19sChIJ5wIPfcJRqEcRwT8CN54GZc4?authuser=0&hl=en&rclk=1
(مطعم بيت العز (برلين Bayt Alez Restaurant (Berlin),4.8,211,Family restaurant,"Pichelsdorfer Str. 77, 13595 Berlin, Germany",Berlin,Germany,https://www.baytalez.de/,+49 176 41599163,https://www.google.com/maps/place/%28%D9%85%D8%B7%D8%B9%D9%85+%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B9%D8%B2+%28%D8%A8%D8%B1%D9%84%D9%8A%D9%86+Bayt+Alez+Restaurant+%28Berlin%29%E2%80%AD/data=!4m7!3m6!1s0x47a857e349c14311:0x6c2caaf3edba732a!8m2!3d52.5216502!4d13.1976068!16s%2Fg%2F11tfdw1k11!19sChIJEUPBSeNXqEcRKnO67fOqLGw?authuser=0&hl=en&rclk=1
Restaurant Seehaase,3.9,900,Restaurant,"Am Großen Wannsee 58a, 14109 Berlin, Germany",Berlin,Germany,http://www.restaurant-seehaase.de/,+49 30 80496474,https://www.google.com/maps/place/Restaurant+Seehaase/data=!4m7!3m6!1s0x47a858fa659cf9f1:0x15ba565d1946c1b7!8m2!3d52.4339235!4d13.1653931!16s%2Fg%2F1wyc3c5r!19sChIJ8fmcZfpYqEcRt8FGGV1WuhU?authuser=0&hl=en&rclk=1
Club-Restaurant des Berliner Yacht-Club,4.4,159,Restaurant,"Wannseebadweg 55, 14129 Berlin, Germany",Berlin,Germany,https://www.byc.berlin/club-restaurant/,+49 1575 2688502,https://www.google.com/maps/place/Club-Restaurant+des+Berliner+Yacht-Club/data=!4m7!3m6!1s0x41653ba007ca0097:0x6a0db46464491a51!8m2!3d52.4431381!4d13.1770343!16s%2Fg%2F1tvryrph!19sChIJlwDKB6A7ZUERURpJZGS0DWo?authuser=0&hl=en&rclk=1
Hasir,4.2,"1,521",Turkish restaurant,"Breite Str. 43, 13597 Berlin, Germany",Berlin,Germany,http://www.hasir.de/,+49 30 35304792,https://www.google.com/maps/place/Hasir/data=!4m7!3m6!1s0x47a856440196e3f3:0x779106e8e8aa25dc!8m2!3d52.5383306!4d13.2066832!16s%2Fg%2F1xfsmsbj!19sChIJ8-OWAURWqEcR3CWq6OgGkXc?authuser=0&hl=en&rclk=1
Wannseeterrassen Berlin,3.9,"1,871",Restaurant,"Wannseebadweg 35, 14129 Berlin, Germany",Berlin,Germany,http://www.wannseeterrassen.berlin/,+49 30 80908218,https://www.google.com/maps/place/Wannseeterrassen+Berlin/data=!4m7!3m6!1s0x47a85851584f4f55:0xe758ecd55abd811a!8m2!3d52.4414162!4d13.1783419!16s%2Fg%2F11b7ldsvtm!19sChIJVU9PWFFYqEcRGoG9WtXsWOc?authuser=0&hl=en&rclk=1
Chettinad | Indian Restaurant Spandau,4.1,694,Indian restaurant,"Wilhelmstraße 1, 13595 Berlin, Germany",Berlin,Germany,https://chettinad-indisches-restaurant.de/,+49 30 26587883,https://www.google.com/maps/place/Chettinad+%7C+Indian+Restaurant+Spandau/data=!4m7!3m6!1s0x47a8564a04a65459:0xea3cd2a28ad2e5ea!8m2!3d52.5286197!4d13.1948978!16s%2Fg%2F11bc7n3p1v!19sChIJWVSmBEpWqEcR6uXSiqLSPOo?authuser=0&hl=en&rclk=1
Sy Restaurant Spandau,4.4,"1,311",Sushi restaurant,"Breite Str. 33, 13597 Berlin, Germany",Berlin,Germany,http://www.sy-restaurant.de/,+49 30 47016121,https://www.google.com/maps/place/Sy+Restaurant+Spandau/data=!4m7!3m6!1s0x47a8564403336671:0x6de821d7b30f2b51!8m2!3d52.5379045!4d13.206736!16s%2Fg%2F1tsbl4qv!19sChIJcWYzA0RWqEcRUSsPs9ch6G0?authuser=0&hl=en&rclk=1
König 19,4.6,355,Mediterranean restaurant,"Königstraße 40, 14109 Berlin, Germany",Berlin,Germany,https://koenig19.de/,+49 30 8055055,https://www.google.com/maps/place/K%C3%B6nig+19/data=!4m7!3m6!1s0x47a858c10a1de135:0xf6c34a11ef376185!8m2!3d52.4177744!4d13.1455599!16s%2Fg%2F1th1t25k!19sChIJNeEdCsFYqEcRhWE37xFKw_Y?authuser=0&hl=en&rclk=1
